,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
824,0.3290729522705078,275,1,0.1,218,200,1000,1,1,10,6269.289,7657.0,1387.711,3959.8,11616.8,7657.0,837.1,89.7,926.8,0.827023155408131%,48.624%,48.624%,100.0%,0.0%,0.771977283848498%,54.128%,54.128%,100.0%,0.0%,zeros,local-local,1,0.1
820,0.5201168060302734,274,0,0.1,217,200,1000,1,1,19,6192.178,13513.2,7321.022,1935.5,15448.7,13513.2,1267.2,163.03,1430.23,0.7925243603292826%,52.074%,52.074%,100.0%,0.0%,0.843215604568914%,47.005%,47.005%,100.0%,0.0%,zeros,local-local,1,0.1
825,0.3830859661102295,275,2,0.1,218,200,1000,1,1,13,6269.289,13920.2,7650.911,3288.3,17208.5,13920.2,1316.7,111.71,1428.41,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.7995002196283145%,51.376%,51.376%,100.0%,0.0%,zeros,local-local,1,0.1
826,0.31006932258605957,276,0,0.1,219,200,1000,1,1,10,6347.351,8747.2,2399.849,3283.5,12030.7,8747.2,872.3,89.64,961.94,0.7927137423127433%,52.055%,52.055%,100.0%,0.0%,0.8201110025867159%,49.315%,49.315%,100.0%,0.0%,zeros,local-local,1,0.1
828,0.2820620536804199,276,2,0.1,219,200,1000,1,1,9,6347.351,7998.6,1651.249,3475.9,11474.5,7998.6,837.1,83.42,920.52,0.7698826920844327%,54.338%,54.338%,100.0%,0.0%,0.7607502719931085%,55.251%,55.251%,100.0%,0.0%,zeros,local-local,1,0.1
827,0.3850855827331543,276,1,0.1,219,200,1000,1,1,13,6347.351,12629.0,6281.649,3186.2,15815.2,12629.0,1082.4,114.31,1196.71,0.8292434226780401%,48.402%,48.402%,100.0%,0.0%,0.7698826920844327%,54.338%,54.338%,100.0%,0.0%,zeros,local-local,1,0.1
831,0.43709826469421387,277,2,0.1,220,200,1000,1,1,14,6426.381,10716.0,4289.619,2959.7,13675.7,10716.0,1147.3,119.2,1266.5,0.8268980511545863%,48.636%,48.636%,100.0%,0.0%,0.849625323881859%,46.364%,46.364%,100.0%,0.0%,zeros,local-local,1,0.1
829,0.525118350982666,277,0,0.1,220,200,1000,1,1,17,6426.381,11969.0,5542.619,3492.9,15461.9,11969.0,1289.2,141.41,1430.61,0.8405344147909499%,47.273%,47.273%,100.0%,0.0%,0.8268980511545863%,48.636%,48.636%,100.0%,0.0%,zeros,local-local,1,0.1
832,0.44910144805908203,278,0,0.1,220,200,1000,1,1,17,6426.381,11969.0,5542.619,3492.9,15461.9,11969.0,1289.2,141.41,1430.61,0.8405344147909499%,47.273%,47.273%,100.0%,0.0%,0.8268980511545863%,48.636%,48.636%,100.0%,0.0%,zeros,local-local,1,0.1
836,0.29906725883483887,279,1,0.1,221,200,1000,1,1,11,6506.393,10796.4,4290.007,2904.9,13701.3,10796.4,961.4,94.7,1056.1,0.8019494703236525%,51.131%,51.131%,100.0%,0.0%,0.8245739047127928%,48.869%,48.869%,100.0%,0.0%,zeros,local-local,1,0.1
