,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (plus before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
4413,48.67595291137695,491,3,0.1,390,200,1000,1,1,False,273024.64,73147.6,-199877.04,1942.4,75090.0,39960.0,0.0,0.0,39960.0,0.5367956456667542%,88.974%,92.5%,86.854%,91.525%,0.7599727839855588%,48.205%,48.438%,47.449%,48.969%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,0.0015145145145145141
4414,48.62794208526611,491,4,0.1,390,200,1000,1,1,False,273024.64,70132.4,-202892.24,2481.4,72613.8,39960.0,0.0,0.0,39960.0,0.540434028839512%,93.846%,93.194%,94.18%,93.532%,0.7802277262040426%,45.641%,43.85%,43.386%,47.761%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,0.004086086086086085
4425,14.482258796691895,492,6,0.1,391,200,1000,1,1,304,304528.23,21373.8,-283154.43,0.0,21373.8,12080.0,0.0,0.0,12080.0,0.6931471805599453%,47.059%,0%,0.0%,100.0%,0.6931471805599453%,52.43%,0%,0.0%,100.0%,zeros,local-global,optimal,1,0.003034329629809476,0.002,3,0.0016324503311258283
4416,51.31454682350159,491,6,0.1,390,200,1000,1,1,False,273024.64,73751.0,-199273.64,1739.2,75490.2,39960.0,0.0,0.0,39960.0,0.5438719815285067%,90.513%,91.414%,90.05%,91.005%,0.7394599634727383%,50.256%,52.604%,49.51%,51.075%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,0.0018108108108108108
4424,30.75391912460327,492,5,0.1,391,200,1000,1,1,627,304528.23,39091.8,-265436.43,0.0,39091.8,25000.0,0.0,0.0,25000.0,0.6931471805599453%,44.246%,0%,0.0%,100.0%,0.6931471805599453%,49.361%,0%,0.0%,100.0%,zeros,local-global,optimal,1,0.003034329629809476,0.002,3,0.002512
4417,50.85844373703003,491,7,0.1,390,200,1000,1,1,False,273024.64,75584.0,-197440.64,890.4,76474.4,39960.0,0.0,0.0,39960.0,0.5848401747435737%,84.359%,85.876%,80.851%,87.624%,0.7155666380814969%,53.077%,57.767%,55.349%,50.286%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,-0.006918918918918918
4418,51.51659321784973,491,8,0.1,390,200,1000,1,1,False,273024.64,76395.0,-196629.64,503.0,76898.0,39960.0,0.0,0.0,39960.0,0.5994083878138708%,80.513%,81.152%,79.487%,81.538%,0.7696132224114137%,48.205%,46.316%,46.809%,49.505%,zeros,local-global,optimal,1,0.0030382171150580266,0.002,3,0.004343343343343345
4420,50.81543469429016,492,1,0.1,391,200,1000,1,1,False,304528.23,75681.4,-228846.83,804.2,76485.6,39960.0,0.0,0.0,39960.0,0.5571987431384531%,87.212%,87.204%,88.889%,85.326%,0.7318261420086585%,52.43%,54.634%,54.634%,50.0%,zeros,local-global,optimal,1,0.003034329629809476,0.002,3,-0.004048048048048048
4421,50.260310649871826,492,2,0.1,391,200,1000,1,1,False,304528.23,76703.0,-227825.23,533.8,77236.8,39960.0,0.0,0.0,39960.0,0.5809310013436969%,82.864%,83.415%,83.824%,81.818%,0.7665029346339799%,47.826%,47.15%,47.15%,48.485%,zeros,local-global,optimal,1,0.003034329629809476,0.002,3,-0.0007757757757757759
4423,50.98447251319885,492,4,0.1,391,200,1000,1,1,False,304528.23,73703.4,-230824.83,2034.8,75738.2,39960.0,0.0,0.0,39960.0,0.5559126493431668%,90.537%,90.86%,89.418%,91.584%,0.7320260598824886%,49.872%,53.968%,48.341%,51.667%,zeros,local-global,optimal,1,0.003034329629809476,0.002,3,-0.0023643643643643645
