,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
7364,0.26205897331237793,38,1,0.5,100,100,5000,1,1,16,1772.454,2840.0,1067.546,0.0,2840.0,221.0,553.2,774.2,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,42.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.91
7360,0.3650820255279541,37,196,0.5,100,100,5000,1,1,24,1772.454,3496.0,1723.546,0.0,3496.0,245.0,916.2,1161.2,0.6931471805599453%,47.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,36.92307692307692,0.1,1.4851485148514851,0,3,0.68
7365,0.24805521965026855,38,2,0.5,100,100,5000,1,1,15,1772.454,2514.0,741.546,0.0,2514.0,197.5,469.7,667.2,0.6931471805599453%,46.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.19
7366,0.21704912185668945,38,3,0.5,100,100,5000,1,1,14,1772.454,2447.0,674.546,0.0,2447.0,197.5,427.9,625.4,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,55.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.7419354838709677
7367,0.22705078125,38,4,0.5,100,100,5000,1,1,14,1772.454,2408.0,635.546,0.0,2408.0,187.0,420.2,607.2,0.6931471805599453%,52.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.24
7369,0.19504237174987793,38,6,0.5,100,100,5000,1,1,12,1772.454,2064.0,291.546,0.0,2064.0,174.5,325.0,499.5,0.6931471805599453%,48.0%,0%,0.0%,100.0%,0.6931471805599453%,46.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.43820224719101125
7370,0.20404624938964844,38,7,0.5,100,100,5000,1,1,13,1772.454,2403.0,630.546,0.0,2403.0,204.0,412.7,616.7,0.6931471805599453%,42.0%,0%,0.0%,100.0%,0.6931471805599453%,50.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.6
7368,0.22205042839050293,38,5,0.5,100,100,5000,1,1,14,1772.454,2693.0,920.546,0.0,2693.0,218.5,466.0,684.5,0.6931471805599453%,49.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.8
7371,0.225050687789917,38,8,0.5,100,100,5000,1,1,15,1772.454,2491.0,718.546,0.0,2491.0,186.5,443.1,629.6,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.25
7373,0.18204116821289062,38,10,0.5,100,100,5000,1,1,11,1772.454,1936.0,163.546,0.0,1936.0,164.5,292.7,457.2,0.6931471805599453%,52.0%,0%,0.0%,100.0%,0.6931471805599453%,58.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.08
7374,0.20404577255249023,38,11,0.5,100,100,5000,1,1,13,1772.454,2132.0,359.546,0.0,2132.0,173.5,357.4,530.9,0.6931471805599453%,54.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.02
7372,0.24305486679077148,38,9,0.5,100,100,5000,1,1,15,1772.454,2230.0,457.546,0.0,2230.0,174.0,427.8,601.8,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,38.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.62
7375,0.23705244064331055,38,12,0.5,100,100,5000,1,1,15,1772.454,2627.0,854.546,0.0,2627.0,205.0,485.3,690.3,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.4090909090909091
7376,0.17904067039489746,38,13,0.5,100,100,5000,1,1,10,1772.454,1930.0,157.546,0.0,1930.0,171.5,266.4,437.9,0.6931471805599453%,57.0%,0%,0.0%,100.0%,0.6931471805599453%,55.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.36
7378,0.2380540370941162,38,15,0.5,100,100,5000,1,1,15,1772.454,2595.0,822.546,0.0,2595.0,208.5,483.5,692.0,0.6931471805599453%,48.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.13
7377,0.2580583095550537,38,14,0.5,100,100,5000,1,1,16,1772.454,2579.0,806.546,0.0,2579.0,201.0,515.1,716.1,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.2553191489361702
7379,0.2690606117248535,38,16,0.5,100,100,5000,1,1,17,1772.454,2665.0,892.546,0.0,2665.0,208.0,563.4,771.4,0.6931471805599453%,59.0%,0%,0.0%,100.0%,0.6931471805599453%,58.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.01
7385,0.13202953338623047,38,22,0.5,100,100,5000,1,1,7,1772.454,1675.0,-97.454,0.0,1675.0,165.0,168.1,333.1,0.6931471805599453%,57.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.04
7382,0.1890425682067871,38,19,0.5,100,100,5000,1,1,12,1772.454,2022.0,249.546,0.0,2022.0,166.5,315.0,481.5,0.6931471805599453%,46.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,0.47126436781609193
7383,0.18604183197021484,38,20,0.5,100,100,5000,1,1,12,1772.454,2428.0,655.546,0.0,2428.0,211.5,368.6,580.1,0.6931471805599453%,36.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.41836734693877553
7380,0.2620542049407959,38,17,0.5,100,100,5000,1,1,17,1772.454,2702.0,929.546,0.0,2702.0,209.0,565.4,774.4,0.6931471805599453%,49.0%,0%,0.0%,100.0%,0.6931471805599453%,53.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-1.0888888888888888
7384,0.17403936386108398,38,21,0.5,100,100,5000,1,1,11,1772.454,2011.0,238.546,0.0,2011.0,173.0,299.7,472.7,0.6931471805599453%,62.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,37.94871794871794,0.1,1.4851485148514851,0,3,-0.04
