,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size,number of memory types
355,0.522118091583252,71,4,1,250,250,1000,1,1,13,7006.239,17481.787,10475.548,0.0,17481.787,7147.58,18900.106,9.962000489234924,26047.686,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,28.283121212121216,1,0.3793773435003555,0.002,3,-0.04163075599868975,2
356,0.4451005458831787,72,0,1,250,250,1000,1,1,12,7006.239,17269.403,10263.164,0.0,17269.403,8441.876,12762.236,21.928040925941474,21204.112,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,28.68715151515152,1,0.3793773435003555,0.002,3,-0.17963066564135133,2
352,0.7671735286712646,71,1,1,250,250,1000,1,1,20,7006.239,22872.218,15865.979,0.0,22872.218,9314.225,22576.631,15.916133078067801,31890.856,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,28.283121212121216,1,0.3793773435003555,0.002,3,0.3015766957482962,2
358,0.5101151466369629,72,2,1,250,250,1000,1,1,13,7006.239,15849.4,8843.161,0.0,15849.4,6626.869,16780.957,5.9540005922317505,23407.826,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,28.68715151515152,1,0.3793773435003555,0.002,3,-0.3047153095673632,2
354,0.8541934490203857,71,3,1,250,250,1000,1,1,22,7006.239,22321.686,15315.447,0.0,22321.686,8907.818,21047.199,12.910296495805625,29955.017,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,28.283121212121216,1,0.3793773435003555,0.002,3,0.06087019349271567,2
360,0.487109899520874,72,4,1,250,250,1000,1,1,13,7006.239,17481.787,10475.548,0.0,17481.787,7147.58,18900.106,9.962000489234924,26047.686,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,28.68715151515152,1,0.3793773435003555,0.002,3,-0.04163075599868975,2
357,0.7871768474578857,72,1,1,250,250,1000,1,1,20,7006.239,22872.218,15865.979,0.0,22872.218,9314.225,22576.631,15.916133078067801,31890.856,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,28.68715151515152,1,0.3793773435003555,0.002,3,0.3015766957482962,2
363,0.4591035842895508,73,2,1,250,250,1000,1,1,12,7006.239,15692.439,8686.2,0.0,15692.439,6362.73,14078.911,5.952044616847999,20441.641,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,29.091181818181823,1,0.3793773435003555,0.002,3,-0.4109017270739424,2
361,0.5811309814453125,73,0,1,250,250,1000,1,1,15,7006.239,17420.66,10414.421,0.0,17420.66,6809.522,21972.031,16.974000334739685,28781.553,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,29.091181818181823,1,0.3793773435003555,0.002,3,-0.3771221060295689,2
359,0.8661959171295166,72,3,1,250,250,1000,1,1,22,7006.239,22321.686,15315.447,0.0,22321.686,8907.818,21047.199,12.910296495805625,29955.017,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,28.68715151515152,1,0.3793773435003555,0.002,3,0.06087019349271567,2
365,0.5051145553588867,73,4,1,250,250,1000,1,1,13,7006.239,17472.476,10466.237,0.0,17472.476,7153.924,18924.734,10.962000489234924,26078.658,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,29.091181818181823,1,0.3793773435003555,0.002,3,-0.04016986747499552,2
362,0.8151836395263672,73,1,1,250,250,1000,1,1,21,7006.239,22819.489,15813.25,0.0,22819.489,8914.294,20387.447,10.902217040269665,29301.741,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,29.091181818181823,1,0.3793773435003555,0.002,3,0.24356977215240044,2
366,0.5951347351074219,74,0,1,250,250,1000,1,1,15,7006.239,17420.66,10414.421,0.0,17420.66,6809.522,21972.031,16.974000334739685,28781.553,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,29.495212121212127,1,0.3793773435003555,0.002,3,-0.3771221060295689,2
368,0.45710253715515137,74,2,1,250,250,1000,1,1,12,7006.239,15692.439,8686.2,0.0,15692.439,6362.73,14078.911,5.952044616847999,20441.641,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,29.495212121212127,1,0.3793773435003555,0.002,3,-0.4109017270739424,2
370,0.499112606048584,74,4,1,250,250,1000,1,1,13,7006.239,17472.476,10466.237,0.0,17472.476,7153.924,18924.734,10.962000489234924,26078.658,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,29.495212121212127,1,0.3793773435003555,0.002,3,-0.04016986747499552,2
364,0.9502139091491699,73,3,1,250,250,1000,1,1,25,7006.239,23796.316,16790.077,0.0,23796.316,8936.933,25553.841,10.902376085913026,34490.774,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,29.091181818181823,1,0.3793773435003555,0.002,3,0.10391288866561096,2
371,0.574129581451416,75,0,1,250,250,1000,1,1,15,7006.239,17420.66,10414.421,0.0,17420.66,6809.522,21972.031,16.974000334739685,28781.553,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,29.899242424242427,1,0.3793773435003555,0.002,3,-0.3771221060295689,2
367,0.8461911678314209,74,1,1,250,250,1000,1,1,21,7006.239,22819.489,15813.25,0.0,22819.489,8914.294,20387.447,10.902217040269665,29301.741,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,29.495212121212127,1,0.3793773435003555,0.002,3,0.24356977215240044,2
373,0.46610546112060547,75,2,1,250,250,1000,1,1,12,7006.239,15692.439,8686.2,0.0,15692.439,6362.73,14078.911,5.952044616847999,20441.641,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,29.899242424242427,1,0.3793773435003555,0.002,3,-0.4109017270739424,2
375,0.4961113929748535,75,4,1,250,250,1000,1,1,13,7006.239,17472.476,10466.237,0.0,17472.476,7153.924,18924.734,10.962000489234924,26078.658,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,29.899242424242427,1,0.3793773435003555,0.002,3,-0.04016986747499552,2
369,0.9512155055999756,74,3,1,250,250,1000,1,1,25,7006.239,23796.316,16790.077,0.0,23796.316,8936.933,25553.841,10.902376085913026,34490.774,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,29.495212121212127,1,0.3793773435003555,0.002,3,0.10391288866561096,2
372,0.7741761207580566,75,1,1,250,250,1000,1,1,20,7006.239,23035.878,16029.639,0.0,23035.878,9147.419,24620.724,5.890942885048808,33768.143,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,29.899242424242427,1,0.3793773435003555,0.002,3,0.21072305379717096,2
376,0.44910120964050293,76,0,1,250,250,1000,1,1,12,7006.239,16236.505,9230.266,0.0,16236.505,6911.994,15181.226,13.966000437736511,22093.22,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,30.30327272727273,1,0.3793773435003555,0.002,3,-0.26621589600768003,2
378,0.4631037712097168,76,2,1,250,250,1000,1,1,12,7006.239,15748.555,8742.316,0.0,15748.555,6472.149,14017.219,6.952044616847999,20489.368,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,30.30327272727273,1,0.3793773435003555,0.002,3,-0.41169297427288576,2
380,0.4591042995452881,76,4,1,250,250,1000,1,1,12,7006.239,16848.851,9842.612,0.0,16848.851,7189.576,16452.655,11.962000489234924,23642.231,0.6931471805599454%,42.8%,0%,0.0%,100.0%,0.6931471805599454%,52.0%,0%,0.0%,100.0%,zeros,local-global,30.30327272727273,1,0.3793773435003555,0.002,3,-0.030958042837209532,2
374,0.9952261447906494,75,3,1,250,250,1000,1,1,25,7006.239,23794.659,16788.42,0.0,23794.659,8975.674,25358.666,11.902376085913026,34334.34,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,29.899242424242427,1,0.3793773435003555,0.002,3,0.10320024389069167,2
381,0.4741075038909912,77,0,1,250,250,1000,1,1,12,7006.239,16236.505,9230.266,0.0,16236.505,6911.994,15181.226,13.966000437736511,22093.22,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,30.707303030303034,1,0.3793773435003555,0.002,3,-0.26621589600768003,2
377,0.7981805801391602,76,1,1,250,250,1000,1,1,21,7006.239,22719.806,15713.567,0.0,22719.806,8868.521,20434.198,9.896253044641096,29302.719,0.6931471805599454%,55.2%,0%,0.0%,100.0%,0.6931471805599454%,55.6%,0%,0.0%,100.0%,zeros,local-global,30.30327272727273,1,0.3793773435003555,0.002,3,0.25134717567676823,2
379,0.6611487865447998,76,3,1,250,250,1000,1,1,17,7006.239,19808.037,12801.798,0.0,19808.037,8243.26,15615.491,14.906419642670489,23858.751,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,51.2%,0%,0.0%,100.0%,zeros,local-global,30.30327272727273,1,0.3793773435003555,0.002,3,0.11538450284576027,2
383,0.47510766983032227,77,2,1,250,250,1000,1,1,12,7006.239,15748.555,8742.316,0.0,15748.555,6472.149,14017.219,6.952044616847999,20489.368,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,30.707303030303034,1,0.3793773435003555,0.002,3,-0.41169297427288576,2
