,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
2272,0.6654467582702637,114,11,2,250,250,1000,1,1,18,7006.239,38534.271,31528.032,0.0,38534.271,22401.78,25781.317,219.89624093301842,48183.097,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,50.4%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,0.09736445489606278
2275,0.44685912132263184,114,14,2,250,250,1000,1,1,12,7006.239,36515.491,29509.252,0.0,36515.491,22029.887,20063.324,173.88005754351045,42093.211,0.6931471805599454%,47.2%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,-0.18401136850964042
2271,0.8466598987579346,114,10,2,250,250,1000,1,1,22,7006.239,46243.271,39237.032,0.0,46243.271,22037.121,33890.163,139.72848296184094,55927.284,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,49.6%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,0.24506546883718724
2273,0.8158788681030273,114,12,2,250,250,1000,1,1,21,7006.239,55414.44,48408.201,0.0,55414.44,31845.119,38508.829,261.7885674635257,70353.948,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,54.0%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,0.032717077700883404
2274,0.884894609451294,114,13,2,250,250,1000,1,1,23,7006.239,47572.325,40566.086,0.0,47572.325,20722.64,34378.653,175.8245680489501,55101.293,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,50.8%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,0.027819689288640734
2276,0.6203253269195557,114,15,2,250,250,1000,1,1,16,7006.239,42480.128,35473.889,0.0,42480.128,25779.868,25550.331,135.80446550472897,51330.199,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,51.6%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,1.0648574542292841
2279,0.5079329013824463,114,18,2,250,250,1000,1,1,13,7006.239,35901.198,28894.959,0.0,35901.198,21622.674,21433.529,129.86833658869284,43056.203,0.6931471805599454%,49.2%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,0.10564517932998849
2281,0.44884467124938965,115,0,2,250,250,1000,1,1,12,7006.239,35243.216,28236.977,0.0,35243.216,22918.724,21041.647,151.9040012359619,43960.371,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,-0.018396681003881175
2283,0.38353800773620605,115,2,2,250,250,1000,1,1,10,7006.239,31878.273,24872.034,0.0,31878.273,17485.649,18437.778,133.8480979544678,35923.427,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,0.11566564334999441
2280,0.6609983444213867,114,19,2,250,250,1000,1,1,17,7006.239,42263.565,35257.326,0.0,42263.565,22403.753,32534.031,113.84088542934046,54937.784,0.6931471805599454%,52.8%,0%,0.0%,100.0%,0.6931471805599454%,50.0%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,0.4001746969225331
2277,0.9607148170471191,114,16,2,250,250,1000,1,1,25,7006.239,53265.854,46259.615,0.0,53265.854,29360.782,36307.118,145.74091151333957,65667.9,0.6931471805599454%,49.6%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,37.98324369747899,1,1.517509374001422,0.002,3,-0.20172934433661457
