,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
24,3.068690538406372,12,2,0.5,200,200,1000,1,1,98,5013.257,23427.344,18414.087,0.0,23427.344,2083.095,100599.379,102682.474,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,23.157894736842103,1,0.10602853043154843,0.02,3,-0.542932449916512
26,3.020679235458374,13,2,0.5,200,200,1000,1,1,98,5013.257,23427.344,18414.087,0.0,23427.344,2083.095,100599.379,102682.474,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,25.263157894736842,1,0.10602853043154843,0.02,3,-0.542932449916512
28,2.921656847000122,14,2,0.5,200,200,1000,1,1,98,5013.257,23427.344,18414.087,0.0,23427.344,2083.095,100599.379,102682.474,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,27.36842105263158,1,0.10602853043154843,0.02,3,-0.542932449916512
30,2.9486629962921143,15,2,0.5,200,200,1000,1,1,98,5013.257,23427.344,18414.087,0.0,23427.344,2083.095,100599.379,102682.474,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,29.473684210526315,1,0.10602853043154843,0.02,3,-0.542932449916512
37,0.653146505355835,19,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,37.89473684210526,1,0.10602853043154843,0.02,3,0.8375503688258468
32,2.8876495361328125,16,2,0.5,200,200,1000,1,1,98,5013.257,23427.344,18414.087,0.0,23427.344,2083.095,100599.379,102682.474,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,31.57894736842105,1,0.10602853043154843,0.02,3,-0.542932449916512
34,2.7786247730255127,17,2,0.5,200,200,1000,1,1,98,5013.257,23427.344,18414.087,0.0,23427.344,2083.095,100599.379,102682.474,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,33.68421052631579,1,0.10602853043154843,0.02,3,-0.542932449916512
39,0.6221404075622559,20,1,0.5,200,200,1000,1,1,24,5013.257,7966.093,2952.836,0.0,7966.093,1859.839,20731.077,22590.916,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,40.0,1,0.10602853043154843,0.02,3,0.8375503688258468
36,2.7216129302978516,18,2,0.5,200,200,1000,1,1,98,5013.257,23427.344,18414.087,0.0,23427.344,2083.095,100599.379,102682.474,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,35.78947368421053,1,0.10602853043154843,0.02,3,-0.542932449916512
40,2.1084742546081543,20,2,0.5,200,200,1000,1,1,98,5013.257,23427.344,18414.087,0.0,23427.344,2083.095,100599.379,102682.474,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,40.0,1,0.10602853043154843,0.02,3,-0.542932449916512
38,2.3205227851867676,19,2,0.5,200,200,1000,1,1,98,5013.257,23427.344,18414.087,0.0,23427.344,2083.095,100599.379,102682.474,0.6931471805599452%,42.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,37.89473684210526,1,0.10602853043154843,0.02,3,-0.542932449916512
