,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
4528,0.15703487396240234,23,150,0.5,100,100,5000,1,1,10,1772.454,2114.985,342.531,0.0,2114.985,191.013,297.788,488.801,0.6931471805599453%,56.0%,0%,0.0%,100.0%,0.6931471805599453%,54.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.730815355858774
4529,0.1850426197052002,23,151,0.5,100,100,5000,1,1,12,1772.454,2100.693,328.239,0.0,2100.693,181.237,342.389,523.626,0.6931471805599453%,61.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.2757591928275554
4531,0.16603755950927734,23,153,0.5,100,100,5000,1,1,11,1772.454,1893.828,121.374,0.0,1893.828,164.147,286.707,450.854,0.6931471805599453%,64.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.7280652697480626
4530,0.20204544067382812,23,152,0.5,100,100,5000,1,1,13,1772.454,2448.512,676.058,0.0,2448.512,199.229,402.11,601.339,0.6931471805599453%,48.0%,0%,0.0%,100.0%,0.6931471805599453%,43.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.4601972759681232
4527,0.2720615863800049,23,149,0.5,100,100,5000,1,1,18,1772.454,3050.69,1278.236,0.0,3050.69,228.405,626.734,855.139,0.6931471805599453%,48.0%,0%,0.0%,100.0%,0.6931471805599453%,50.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.07101481216992908
4532,0.20504522323608398,23,154,0.5,100,100,5000,1,1,13,1772.454,2373.677,601.223,0.0,2373.677,197.721,392.858,590.579,0.6931471805599453%,49.0%,0%,0.0%,100.0%,0.6931471805599453%,47.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.41699389300852757
4536,0.1650376319885254,23,158,0.5,100,100,5000,1,1,11,1772.454,1948.565,176.111,0.0,1948.565,164.707,290.129,454.836,0.6931471805599453%,54.0%,0%,0.0%,100.0%,0.6931471805599453%,48.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.29610420085413636
4535,0.2090468406677246,23,157,0.5,100,100,5000,1,1,13,1772.454,2354.809,582.355,0.0,2354.809,190.345,389.687,580.032,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,46.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.10583524373837763
4533,0.2710607051849365,23,155,0.5,100,100,5000,1,1,17,1772.454,3022.526,1250.072,0.0,3022.526,230.401,593.266,823.667,0.6931471805599453%,58.0%,0%,0.0%,100.0%,0.6931471805599453%,58.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.0754359764073746
4538,0.1870410442352295,23,160,0.5,100,100,5000,1,1,12,1772.454,2157.574,385.12,0.0,2157.574,178.421,330.215,508.636,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,49.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.2337254931275111
4534,0.30406808853149414,23,156,0.5,100,100,5000,1,1,19,1772.454,3107.598,1335.144,0.0,3107.598,220.543,643.361,863.904,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,57.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.21453143219503187
4539,0.22405052185058594,23,161,0.5,100,100,5000,1,1,14,1772.454,2715.657,943.203,0.0,2715.657,215.546,464.686,680.232,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,55.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.3055904209725994
4537,0.26205897331237793,23,159,0.5,100,100,5000,1,1,17,1772.454,2965.218,1192.764,0.0,2965.218,227.228,601.972,829.2,0.6931471805599453%,40.0%,0%,0.0%,100.0%,0.6931471805599453%,42.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.6554326246964056
4542,0.17303681373596191,23,164,0.5,100,100,5000,1,1,9,1772.454,1744.235,-28.219,0.0,1744.235,162.23,228.054,390.284,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,41.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.455599682580163
4541,0.25305676460266113,23,163,0.5,100,100,5000,1,1,14,1772.454,2241.584,469.13,0.0,2241.584,181.677,397.064,578.741,0.6931471805599453%,57.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.08141188021700625
4540,0.31107020378112793,23,162,0.5,100,100,5000,1,1,21,1772.454,3131.429,1358.975,0.0,3131.429,214.689,722.908,937.597,0.6931471805599453%,49.0%,0%,0.0%,100.0%,0.6931471805599453%,46.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.13739223543328338
4543,0.14603281021118164,23,165,0.5,100,100,5000,1,1,9,1772.454,1790.227,17.773,0.0,1790.227,158.746,225.145,383.891,0.6931471805599453%,53.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.46444438125769955
