,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory
747,0.42209434509277344,8,54,0.5,200,200,5000,1,1,12,5013.257,6229.352,1216.095,0.0,6229.352,1065.405,281.943,1347.348,0.6931471805599452%,48.5%,0%,0.0%,100.0%,0.6931471805599452%,46.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
750,0.4771077632904053,8,57,0.5,200,200,5000,1,1,14,5013.257,7838.992,2825.735,0.0,7838.992,1297.786,372.78,1670.566,0.6931471805599452%,47.5%,0%,0.0%,100.0%,0.6931471805599452%,49.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
746,0.7061583995819092,8,53,0.5,200,200,5000,1,1,22,5013.257,10516.351,5503.094,0.0,10516.351,1597.816,504.032,2101.848,0.6931471805599452%,54.0%,0%,0.0%,100.0%,0.6931471805599452%,47.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
745,0.7861754894256592,8,52,0.5,200,200,5000,1,1,24,5013.257,10363.25,5349.993,0.0,10363.25,1618.364,629.722,2248.086,0.6931471805599452%,47.0%,0%,0.0%,100.0%,0.6931471805599452%,48.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
748,0.677154541015625,8,55,0.5,200,200,5000,1,1,21,5013.257,9234.169,4220.912,0.0,9234.169,1482.614,595.023,2077.637,0.6931471805599452%,45.0%,0%,0.0%,100.0%,0.6931471805599452%,46.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
749,0.6791534423828125,8,56,0.5,200,200,5000,1,1,21,5013.257,11406.208,6392.951,0.0,11406.208,2002.476,542.038,2544.514,0.6931471805599452%,51.0%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
753,0.5491232872009277,8,60,0.5,200,200,5000,1,1,17,5013.257,8364.262,3351.005,0.0,8364.262,1275.382,478.463,1753.845,0.6931471805599452%,48.5%,0%,0.0%,100.0%,0.6931471805599452%,49.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
751,0.6111369132995605,8,58,0.5,200,200,5000,1,1,19,5013.257,9916.446,4903.189,0.0,9916.446,1728.559,442.451,2171.01,0.6931471805599452%,49.5%,0%,0.0%,100.0%,0.6931471805599452%,51.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
755,0.35908079147338867,8,62,0.5,200,200,5000,1,1,10,5013.257,5751.255,737.998,0.0,5751.255,846.303,257.417,1103.72,0.6931471805599452%,51.5%,0%,0.0%,100.0%,0.6931471805599452%,49.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
754,0.6041362285614014,8,61,0.5,200,200,5000,1,1,19,5013.257,10232.589,5219.332,0.0,10232.589,1626.693,532.773,2159.466,0.6931471805599452%,46.0%,0%,0.0%,100.0%,0.6931471805599452%,52.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
752,0.7101595401763916,8,59,0.5,200,200,5000,1,1,22,5013.257,7556.273,2543.016,0.0,7556.273,1067.409,508.135,1575.544,0.6931471805599452%,46.5%,0%,0.0%,100.0%,0.6931471805599452%,52.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
756,0.4100911617279053,8,63,0.5,200,200,5000,1,1,12,5013.257,7526.073,2512.816,0.0,7526.073,1254.817,307.077,1561.894,0.6931471805599452%,50.0%,0%,0.0%,100.0%,0.6931471805599452%,46.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
758,0.5201168060302734,8,65,0.5,200,200,5000,1,1,16,5013.257,8785.019,3771.762,0.0,8785.019,1514.433,399.826,1914.259,0.6931471805599452%,54.5%,0%,0.0%,100.0%,0.6931471805599452%,51.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
759,0.502112627029419,8,66,0.5,200,200,5000,1,1,15,5013.257,7716.936,2703.679,0.0,7716.936,1269.013,390.804,1659.817,0.6931471805599452%,48.0%,0%,0.0%,100.0%,0.6931471805599452%,50.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
