,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated:  efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity
678,3.155961275100708,136,2,0.1,574,1000,10000,1,1,20,17093.195,101.549,-16991.646,1027.7,104361.9,103334.2,7310.0,918938.65,926248.65,0.8115195272394772%,50.174%,50.174%,100.0%,0.0%,0.8150038477969684%,49.826%,49.826%,100.0%,0.0%
680,3.1701228618621826,136,4,0.1,574,1000,10000,1,1,21,17093.195,68.09,-17025.105,1355.9,92322.9,90967.0,7068.0,918238.65,925306.65,0.8289411300269336%,48.432%,48.432%,100.0%,0.0%,0.8271989697481879%,48.606%,48.606%,100.0%,0.0%
683,2.4204134941101074,137,2,0.1,578,1000,10000,1,1,13,17320.766,296.396,-17024.37,313.9,93038.7,92724.8,5812.0,593062.2,598874.2,0.8167218951306795%,49.654%,49.654%,100.0%,0.0%,0.7596284695251432%,55.363%,55.363%,100.0%,0.0%
686,1.9104888439178467,138,0,0.1,582,1000,10000,1,1,8,17550.245,77.053,-17473.192,1195.2,92093.8,90898.6,4556.0,418260.0,422816.0,0.7995159830508689%,51.375%,51.375%,100.0%,0.0%,0.7960795569340303%,51.718%,51.718%,100.0%,0.0%
687,1.8238983154296875,138,1,0.1,582,1000,10000,1,1,8,17550.245,264.466,-17285.779,355.1,93911.7,93556.6,4703.0,389370.6,394073.6,0.8098252614013843%,50.344%,50.344%,100.0%,0.0%,0.8046706222261266%,50.859%,50.859%,100.0%,0.0%
688,1.8884756565093994,138,2,0.1,582,1000,10000,1,1,8,17550.245,53.358,-17496.887,1814.8,96834.2,95019.4,4870.0,407444.45,412314.45,0.8081070483429651%,50.515%,50.515%,100.0%,0.0%,0.8081070483429651%,50.515%,50.515%,100.0%,0.0%
690,1.4673864841461182,138,4,0.1,582,1000,10000,1,1,6,17550.245,34.566,-17515.679,2796.5,96663.3,93866.8,4885.0,315605.2,320490.2,0.7995159830508689%,51.375%,51.375%,100.0%,0.0%,0.7995159830508689%,51.375%,51.375%,100.0%,0.0%
684,3.863619089126587,137,3,0.1,578,1000,10000,1,1,26,17320.766,34.859,-17285.907,2743.8,95646.8,92903.0,8244.0,1145543.05,1153787.05,0.8046111684870808%,50.865%,50.865%,100.0%,0.0%,0.8080713760995376%,50.519%,50.519%,100.0%,0.0%
691,2.0128977298736572,139,0,0.1,586,1000,10000,1,1,9,17781.646,855.673,-16925.973,120.4,103023.0,102902.6,5406.0,452900.5,458306.5,0.8098487182349463%,50.341%,50.341%,100.0%,0.0%,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%
692,1.982961893081665,139,1,0.1,586,1000,10000,1,1,9,17781.646,128.074,-17653.572,766.7,98194.7,97428.0,5056.0,440086.65,445142.65,0.8559238035591784%,45.734%,45.734%,100.0%,0.0%,0.8098487182349463%,50.341%,50.341%,100.0%,0.0%
