,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
323,0.4611032009124756,47,0,0.2,250,250,1000,1,1,12,7006.239,1891.636,-5114.603,301.2,2192.836,1891.636,0.0,698.673,698.673,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,18.586393939393943,0.1
322,0.6461451053619385,46,6,0.2,250,250,1000,1,1,18,7006.239,2324.36,-4681.879,290.0,2614.36,2324.36,0.0,1102.921,1102.921,0.7772616875182228%,53.6%,53.6%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,18.18236363636364,0.1
321,0.713160514831543,46,5,0.2,250,250,1000,1,1,19,7006.239,3009.141,-3997.098,290.0,3299.141,3009.141,0.0,1245.654,1245.654,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,18.18236363636364,0.1
324,0.7281639575958252,47,1,0.2,250,250,1000,1,1,21,7006.239,2775.724,-4230.515,299.6,3075.324,2775.724,0.0,1337.487,1337.487,0.8652616875182227%,44.8%,44.8%,100.0%,0.0%,0.8692616875182227%,44.4%,44.4%,100.0%,0.0%,zeros,local-global,18.586393939393943,0.1
326,0.6161386966705322,47,3,0.2,250,250,1000,1,1,16,7006.239,2166.513,-4839.726,307.2,2473.713,2166.513,0.0,949.431,949.431,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.8252616875182227%,48.8%,48.8%,100.0%,0.0%,zeros,local-global,18.586393939393943,0.1
327,0.5391213893890381,47,4,0.2,250,250,1000,1,1,14,7006.239,1867.303,-5138.936,316.8,2184.103,1867.303,0.0,820.275,820.275,0.7412616875182227%,57.2%,57.2%,100.0%,0.0%,0.8332616875182227%,48.0%,48.0%,100.0%,0.0%,zeros,local-global,18.586393939393943,0.1
332,0.3490784168243408,48,2,0.2,250,250,1000,1,1,9,7006.239,1443.037,-5563.202,298.0,1741.037,1443.037,0.0,528.985,528.985,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7972616875182228%,51.6%,51.6%,100.0%,0.0%,zeros,local-global,18.990424242424247,0.1
330,0.46210408210754395,48,0,0.2,250,250,1000,1,1,12,7006.239,1891.636,-5114.603,301.2,2192.836,1891.636,0.0,698.673,698.673,0.8292616875182227%,48.4%,48.4%,100.0%,0.0%,0.8372616875182227%,47.6%,47.6%,100.0%,0.0%,zeros,local-global,18.990424242424247,0.1
329,0.6551463603973389,47,6,0.2,250,250,1000,1,1,18,7006.239,2324.36,-4681.879,290.0,2614.36,2324.36,0.0,1102.921,1102.921,0.7772616875182228%,53.6%,53.6%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,18.586393939393943,0.1
328,0.7041585445404053,47,5,0.2,250,250,1000,1,1,19,7006.239,3009.141,-3997.098,290.0,3299.141,3009.141,0.0,1245.654,1245.654,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7652616875182228%,54.8%,54.8%,100.0%,0.0%,zeros,local-global,18.586393939393943,0.1
