,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory
899,1.3813111782073975,90,8,0.8,400,400,3000,1,1,18,14179.631,25692.547,11512.916,2316.8,28009.347,25692.547,588.462,6196.755,6785.217,0.8107616875182228%,50.25%,50.25%,100.0%,0.0%,0.8082616875182228%,50.5%,50.5%,100.0%,0.0%,zeros,local-global,35.95969696969697,0.1
901,1.2952914237976074,91,0,0.8,400,400,3000,1,1,17,14179.631,24417.59,10237.959,2435.2,26852.79,24417.59,686.684,4216.231,4902.915,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,0.7857616875182228%,52.75%,52.75%,100.0%,0.0%,zeros,local-global,36.363727272727274,0.1
903,1.302293062210083,91,2,0.8,400,400,3000,1,1,17,14179.631,25952.614,11772.983,2393.6,28346.214,25952.614,739.218,4465.695,5204.913,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,0.8457616875182228%,46.75%,46.75%,100.0%,0.0%,zeros,local-global,36.363727272727274,0.1
904,1.213273048400879,91,3,0.8,400,400,3000,1,1,16,14179.631,25869.198,11689.567,2352.0,28221.198,25869.198,583.788,5212.493,5796.281,0.7807616875182228%,53.25%,53.25%,100.0%,0.0%,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,zeros,local-global,36.363727272727274,0.1
902,1.6783778667449951,91,1,0.8,400,400,3000,1,1,23,14179.631,31204.02,17024.389,2436.8,33640.82,31204.02,687.052,7035.489,7722.541,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,zeros,local-global,36.363727272727274,0.1
900,1.8664205074310303,90,9,0.8,400,400,3000,1,1,26,14179.631,33518.511,19338.88,2428.8,35947.311,33518.511,705.919,7296.97,8002.889,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%,0.7907616875182228%,52.25%,52.25%,100.0%,0.0%,zeros,local-global,35.95969696969697,0.1
905,1.3833119869232178,91,4,0.8,400,400,3000,1,1,18,14179.631,24229.273,10049.642,2404.8,26634.073,24229.273,771.49,3824.723,4596.213,0.7782616875182228%,53.5%,53.5%,100.0%,0.0%,0.8182616875182228%,49.5%,49.5%,100.0%,0.0%,zeros,local-global,36.363727272727274,0.1
906,1.411318063735962,91,5,0.8,400,400,3000,1,1,19,14179.631,26618.145,12438.514,2259.2,28877.345,26618.145,576.119,5970.341,6546.46,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.7957616875182228%,51.75%,51.75%,100.0%,0.0%,zeros,local-global,36.363727272727274,0.1
907,1.3843116760253906,91,6,0.8,400,400,3000,1,1,18,14179.631,26258.0,12078.369,2352.0,28610.0,26258.0,722.169,4771.12,5493.289,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,0.8032616875182228%,51.0%,51.0%,100.0%,0.0%,zeros,local-global,36.363727272727274,0.1
908,1.249281406402588,91,7,0.8,400,400,3000,1,1,16,14179.631,29597.463,15417.832,2331.2,31928.663,29597.463,1119.73,3209.203,4328.933,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,0.7882616875182228%,52.5%,52.5%,100.0%,0.0%,zeros,local-global,36.363727272727274,0.1
909,1.3403022289276123,91,8,0.8,400,400,3000,1,1,18,14179.631,25737.323,11557.692,2316.8,28054.123,25737.323,589.445,6193.104,6782.549,0.8107616875182228%,50.25%,50.25%,100.0%,0.0%,0.8082616875182228%,50.5%,50.5%,100.0%,0.0%,zeros,local-global,36.363727272727274,0.1
912,1.19026780128479,92,1,0.8,400,400,3000,1,1,16,14179.631,26453.274,12273.643,2436.8,28890.074,26453.274,689.527,4695.031,5384.558,0.7932616875182228%,52.0%,52.0%,100.0%,0.0%,0.8057616875182227%,50.75%,50.75%,100.0%,0.0%,zeros,local-global,36.76775757575758,0.1
